G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
1,2022-11-07,Jackson State,W,65,56,23,57,.404,8,28,.286,11,20,.550,4,32,12,9,5,15,17,22,55,.400,2,19,.105,10,14,.714,7,40,9,6,1,21,21
2,2022-11-11,Texas A&M,L,58,77,20,52,.385,8,18,.444,10,12,.833,9,24,12,11,0,20,22,23,44,.523,6,16,.375,25,35,.714,10,33,7,11,3,19,17
3,2022-11-15,McMurry,W,104,46,41,68,.603,5,17,.294,17,22,.773,15,44,22,15,5,18,18,15,49,.306,6,22,.273,10,15,.667,4,17,7,9,2,27,18
4,2022-11-21,Wright State,L,61,77,25,58,.431,7,22,.318,4,10,.400,6,26,15,11,3,23,23,30,50,.600,5,11,.455,12,19,.632,1,24,18,12,5,18,14
5,2022-11-22,Weber State,L,67,77,26,53,.491,9,17,.529,6,11,.545,2,22,20,7,3,15,19,24,51,.471,6,21,.286,23,25,.920,8,29,10,4,0,18,13
6,2022-11-23,UC-Riverside,L,65,76,22,60,.367,7,24,.292,14,18,.778,12,29,14,7,3,14,21,24,52,.462,9,24,.375,19,21,.905,9,35,16,7,1,17,19
7,2022-11-27,Northern Arizona,W,92,82,34,60,.567,10,18,.556,14,22,.636,8,29,18,6,2,10,22,28,58,.483,10,22,.455,16,22,.727,9,30,13,3,2,10,18
8,2022-11-30,North American,W,93,46,31,68,.456,11,29,.379,20,26,.769,17,38,19,15,3,9,18,13,41,.317,5,13,.385,15,21,.714,5,26,5,4,4,24,23
9,2022-12-03,Arlington Baptist,W,88,42,36,67,.537,8,25,.320,8,10,.800,16,40,22,13,8,15,18,12,44,.273,2,9,.222,16,19,.842,4,19,8,5,3,19,11
10,2022-12-06,Kansas State,L,64,81,25,55,.455,7,19,.368,7,12,.583,7,26,14,6,2,13,21,31,53,.585,3,12,.250,16,29,.552,9,32,23,7,3,12,13
11,2022-12-10,Texas A&M-Commerce,W,83,64,28,55,.509,6,15,.400,21,24,.875,10,25,15,10,0,9,17,23,50,.460,7,26,.269,11,15,.733,9,25,13,4,2,18,20
12,2022-12-17,Cal State Bakersfield,W,65,59,20,49,.408,10,21,.476,15,22,.682,3,19,13,6,1,10,17,22,49,.449,2,9,.222,13,16,.813,8,34,13,3,7,14,24
13,2022-12-21,Howard Payne,W,113,52,44,79,.557,13,35,.371,12,25,.480,21,56,24,13,4,18,20,16,54,.296,4,24,.167,16,22,.727,1,18,2,8,4,26,23
14,2022-12-29,Stephen F. Austin,L,68,75,28,61,.459,6,20,.300,6,11,.545,9,30,19,4,3,12,21,27,57,.474,4,14,.286,17,25,.680,10,34,19,8,3,10,18
15,2022-12-31,Tarleton State,W,69,63,21,49,.429,5,16,.313,22,31,.710,7,29,8,9,4,16,17,21,48,.438,4,8,.500,17,21,.810,3,27,4,7,1,21,26
16,2023-01-07,Southern Utah,L,72,74,25,63,.397,5,25,.200,17,19,.895,7,23,12,11,3,9,26,24,43,.558,4,11,.364,22,35,.629,8,38,5,3,5,21,26
17,2023-01-11,Texas-Rio Grande Valley,L,86,103,29,72,.403,5,19,.263,23,27,.852,8,19,23,13,3,10,34,31,46,.674,7,15,.467,34,48,.708,5,38,21,5,10,25,23
18,2023-01-14,Tarleton State,L,63,72,24,57,.421,5,19,.263,10,21,.476,10,31,15,7,0,12,24,20,45,.444,5,11,.455,27,36,.750,6,32,12,7,3,12,19
19,2023-01-18,Utah Valley,L,54,84,21,70,.300,4,20,.200,8,14,.571,11,32,14,9,1,9,18,33,62,.532,7,21,.333,11,15,.733,10,51,27,5,7,17,19
20,2023-01-21,UT Arlington,W,84,68,31,49,.633,10,17,.588,12,15,.800,5,23,20,8,2,14,21,23,51,.451,8,17,.471,14,20,.700,11,24,12,5,3,14,14
